HSC J022013-050729 02 20 13.03 -05 07 29.7 2.169 22.7 22.7 22.6 22.3 22.4 21.7 NB387 AGN          Co11
HSC J095947+014449 09 59 47.55 +01 44 49.4 5.700 99.0 99.0 27.4 27.3 26.4 25.2 NB816              Ni20
HSC J095950+020310 09 59 50.75 +02 03 10.6 5.690 99.0 28.9 27.6 26.8 26.4 25.4 NB816              Ni20
HSC J095950+023223 09 59 50.99 +02 32 23.1 5.666 28.9 28.4 26.8 26.5 27.1 25.5 NB816              Ma12, Has18
HSC J095952+013723 09 59 52.13 +01 37 23.2 5.724 99.0 29.8 26.5 26.0 26.0 24.2 NB816              Ma12, Has18
HSC J095952+015005 09 59 52.03 +01 50 05.7 5.744 99.0 29.1 26.3 25.4 25.3 24.5 NB816              Ma12, Has18, Ni20
HSC J095952+015700 09 59 52.60 +01 57 00.7 5.728 99.0 29.2 27.0 27.1 26.5 25.1 NB816              Ni20
HSC J095953+020705 09 59 53.25 +02 07 05.3 5.692 28.8 28.2 25.7 24.6 24.5 24.0 NB816              Ma12, Has18
HSC J095954+021039 09 59 54.78 +02 10 39.2 5.662 99.0 29.9 26.8 26.6 26.4 25.0 NB816              Ma12, Ji17, Has18, Ni20
HSC J095954+021516 09 59 54.52 +02 15 16.5 5.688 99.0 99.0 27.3 26.8 27.6 24.8 NB816              Ma12, Has18, Ni20
HSC J095955+014720 09 59 55.00 +01 47 20.7 5.715 99.0 99.0 26.7 25.9 25.8 24.3 NB816              Ma12, Has18
HSC J100001+020620 10 00 01.62 +02 06 20.3 5.706 99.0 28.7 27.2 26.5 26.3 25.1 NB816              Ni20
HSC J100005+020716 10 00 05.06 +02 07 16.9 5.704 99.0 99.0 27.8 27.2 27.4 24.8 NB816              Ma12, Has18, Ni20
HSC J100012+021930 10 00 12.80 +02 19 30.9 5.750 99.0 99.0 27.6 26.9 27.3 25.4 NB816              Ni20
HSC J100013+014026 10 00 13.42 +01 40 26.3 5.702 99.0 28.1 26.8 25.9 25.7 25.1 NB816              Ni20
HSC J100019+020103 10 00 19.98 +02 01 03.2 5.645 99.0 99.0 27.0 26.9 26.5 25.6 NB816              Ma12, Has18, Ni20
HSC J100023+015608 10 00 23.22 +01 56 08.1 5.717 99.0 99.0 27.5 26.6 25.9 25.1 NB816              Ni20
HSC J100029+015000 10 00 29.58 +01 50 00.6 5.707 99.0 99.0 27.3 26.6 27.0 25.2 NB816              Ma12, Has18
HSC J100029+024115 10 00 29.12 +02 41 15.7 5.735 99.0 28.3 26.8 26.7 27.3 25.0 NB816              Ma12, Has18
HSC J100030+021714 10 00 30.40 +02 17 14.8 5.695 99.0 99.0 27.5 26.8 26.8 24.6 NB816              Ma12, Has18, Ni20
HSC J100040+021903 10 00 40.21 +02 19 03.3 5.719 29.1 28.5 26.8 26.5 26.9 24.9 NB816              Ma12, Ta17, Has18, Ni20
HSC J100042+022135 10 00 42.75 +02 21 35.7 5.684 99.0 99.0 99.0 99.0 99.0 26.1 NB816              Ni20
HSC J100044+022719 10 00 44.49 +02 27 19.1 5.684 99.0 99.0 27.3 27.5 99.0 25.2 NB816              Ni20
HSC J100058+013642 10 00 58.41 +01 36 42.8 5.688 99.0 28.2 27.1 27.6 26.3 25.2 NB816              Ma12, Has18
HSC J100100+022926 10 01 00.36 +02 29 26.3 5.724 29.5 29.3 26.8 26.2 26.4 24.8 NB816              Ni20
HSC J100102+015144 10 01 02.95 +01 51 44.7 5.666 29.7 28.1 26.6 26.1 26.1 25.2 NB816              Ma12, Has18, Ni20
HSC J100103+021444 10 01 03.24 +02 14 44.9 5.685 99.0 99.0 29.0 27.7 28.1 26.1 NB816              Ni20
HSC J100107+015222 10 01 07.35 +01 52 22.7 5.668 99.0 99.0 27.4 27.0 28.5 25.6 NB816              Ma12, Has18, Ni20
HSC J100110+021357 10 01 10.16 +02 13 57.9 5.682 99.0 99.0 99.0 29.2 99.0 25.5 NB816              Ni20
HSC J100110+022829 10 01 10.06 +02 28 29.1 5.681 29.6 27.8 26.1 25.0 25.0 24.5 NB816              Ma12, Has18, Ni20
HSC J100123+015600 10 01 23.84 +01 56 00.3 5.726 99.0 99.0 26.5 25.9 26.0 24.0 NB816              Ma12, Has18
HSC J100126+014430 10 01 26.89 +01 44 30.1 5.686 99.0 99.0 26.7 26.2 26.0 24.6 NB816              Ma12, Has18
HSC J100127+023005 10 01 27.76 +02 30 05.9 5.696 29.5 29.1 26.6 25.9 26.1 24.6 NB816              Ma12, Has18
HSC J100129+014929 10 01 29.08 +01 49 29.8 5.707 99.0 99.0 26.1 25.6 25.5 23.8 NB816              Ma12, Has18, Ni20
HSC J100131+014320 10 01 31.12 +01 43 20.3 5.728 28.9 28.1 26.7 26.4 26.4 24.8 NB816              Ma12, Has18
HSC J100131+023105 10 01 31.07 +02 31 05.9 5.690 29.5 99.0 26.9 26.8 26.8 24.7 NB816              Ma12, Has18
HSC J100146+014827 10 01 46.64 +01 48 27.1 5.704 99.0 28.3 26.9 26.9 27.3 24.7 NB816              On21
HSC J100203+013623 10 02 03.15 +01 36 23.8 5.742 29.2 28.1 26.3 25.9 26.1 24.2 NB816              Has18
HSC J100214+021243 10 02 14.21 +02 12 43.0 5.731 99.0 99.0 27.7 26.8 27.2 24.8 NB816              On21
HSC J100301+020236 10 03 01.15 +02 02 36.0 5.682 99.0 28.7 26.1 25.0 25.0 24.7 NB816              Ma12, Has18
HSC J100305+015141 10 03 05.33 +01 51 41.0 5.694 99.0 28.4 27.0 26.3 26.0 25.0 NB816              Ma12, Has18
HSC J100306+014742 10 03 06.13 +01 47 42.7 5.680 99.0 99.0 26.9 26.9 27.4 24.7 NB816              Ma12, Has18
HSC J161403+535701 16 14 03.82 +53 57 01.1 5.733 99.0 99.0 26.1 24.9 25.2 23.9 NB816 LAB          Zh20
HSC J161927+551144 16 19 27.72 +55 11 44.8 5.709 28.9 27.7 25.6 25.3 25.4 23.3 NB816 LAB          Zh20
HSC J232558+002557 23 25 58.44 +00 25 57.6 5.703 29.9 28.2 25.7 25.2 25.3 23.6 NB816              Sh18
HSC J233408+004403 23 34 08.80 +00 44 03.7 5.707 28.5 99.0 25.5 26.0 26.6 22.8 NB816              Sh18
HSC J021650-051016 02 16 50.88 -05 10 16.5 6.535 99.0 99.0 99.0 27.6 27.8 25.9 NB921              Ou10
HSC J021653-050601 02 16 53.91 -05 06 01.4 6.590 99.0 99.0 99.0 27.7 99.0 26.1 NB921              Ou10
HSC J021654-045557 02 16 54.54 -04 55 57.1 6.617 99.0 99.0 99.0 27.2 26.3 25.1 NB921              Ou10, Ni22
HSC J021654-050004 02 16 54.38 -05 00 04.3 6.512 99.0 99.0 99.0 26.9 99.0 25.4 NB921              Ou10, Ni22
HSC J021658-045556 02 16 58.26 -04 55 56.9 6.573 99.0 99.0 99.0 27.2 99.0 25.5 NB921              Ou10
HSC J021702-050604 02 17 02.56 -05 06 04.7 6.545 29.0 99.0 29.5 26.5 27.3 24.9 NB921              Ou10
HSC J021703-045619 02 17 03.47 -04 56 19.1 6.589 99.0 99.0 99.0 26.6 25.8 24.7 NB921              Ou10
HSC J021746-042539 02 17 46.31 -04 25 39.4 6.577 29.3 99.0 99.0 27.0 27.8 25.5 NB921              This Study
HSC J021751-042450 02 17 51.42 -04 24 50.0 6.559 99.0 29.0 28.6 27.1 27.6 26.1 NB921              Ni22
HSC J021757-050414 02 17 57.00 -05 04 14.3 6.570 99.0 99.0 99.0 27.0 26.7 25.9 NB921              Ha19
HSC J021757-050844 02 17 57.58 -05 08 44.7 6.595 99.0 99.0 99.0 25.7 25.3 23.8 NB921 Himiko       Ou10, Ji17, Ha19, Ni22
HSC J021757-051556 02 17 57.32 -05 15 56.5 6.564 29.0 99.0 99.0 99.0 26.2 26.0 NB921              Ha19
HSC J021800-050330 02 18 00.80 -05 03 30.4 6.613 29.8 99.0 99.0 27.3 28.6 25.5 NB921              Ha19
HSC J021800-050346 02 18 00.23 -05 03 46.9 6.601 99.0 99.0 99.0 27.6 26.7 25.5 NB921              Ha19
HSC J021806-042657 02 18 06.28 -04 26 57.3 6.570 29.8 29.6 99.0 29.2 28.2 25.9 NB921              This Study
HSC J021819-050900 02 18 19.40 -05 09 00.8 6.563 99.0 99.0 99.0 26.9 26.3 25.2 NB921              Ou10, Ha19
HSC J021820-051109 02 18 20.70 -05 11 09.9 6.575 99.0 99.0 99.0 27.5 27.6 25.0 NB921              Ou10, Ha19
HSC J021827-050629 02 18 27.95 -05 06 29.9 6.597 99.0 99.0 99.0 27.4 99.0 25.4 NB921              Ha19
HSC J021827-050727 02 18 27.01 -05 07 27.0 6.553 99.0 99.0 28.8 27.1 99.0 25.1 NB921              Ou10, Ha19, Ni22
HSC J021834-053024 02 18 34.53 -05 30 24.3 6.580 99.0 99.0 99.0 28.4 25.6 25.6 NB921              This Study
HSC J021839-042639 02 18 39.74 -04 26 39.7 6.553 99.0 29.1 28.2 27.9 26.6 25.6 NB921              This Study
HSC J021842-043011 02 18 42.60 -04 30 11.4 6.548 99.0 99.0 99.0 26.7 26.6 24.9 NB921              On21
HSC J021843-050915 02 18 43.64 -05 09 15.7 6.512 99.0 28.8 28.1 26.0 25.5 24.7 NB921              Sh18, Ha18, Ni22
HSC J021844-043636 02 18 44.66 -04 36 36.3 6.621 99.0 99.0 99.0 26.5 26.5 24.7 NB921              Ou10, Ni22
HSC J021901-045859 02 19 01.43 -04 58 59.0 6.556 99.0 28.5 29.4 26.5 26.3 24.8 NB921              Ji17, Ni22
HSC J021933-050820 02 19 33.13 -05 08 20.8 6.590 99.0 99.0 99.0 26.9 26.8 24.9 NB921              On21, Ni22
HSC J022023-050648 02 20 23.81 -05 06 48.9 6.550 99.0 99.0 99.0 27.5 99.0 25.6 NB921              Ni22, This Study
HSC J022026-050542 02 20 26.83 -05 05 42.5 6.566 99.0 99.0 99.0 27.0 29.2 25.2 NB921              On21, Ni22
HSC J095935+022505 09 59 35.07 +02 25 05.2 6.573 99.0 30.0 28.8 26.6 26.8 25.0 NB921              Ni22
HSC J100018+020008 10 00 18.35 +02 00 08.2 6.574 99.0 99.0 99.0 27.7 26.5 24.9 NB921              Ni22
HSC J100058+014815 10 00 58.00 +01 48 15.1 6.604 99.0 99.0 29.8 25.5 24.8 23.5 NB921 LAB (CR7)    So15, Has18, Ni22
HSC J100124+023145 10 01 24.79 +02 31 45.5 6.545 29.2 29.6 28.6 25.8 25.9 24.0 NB921 LAB (MASOSA) So15, Ji17, Ni22
HSC J100207+023217 10 02 07.81 +02 32 17.2 6.616 99.0 99.0 99.0 27.1 26.7 25.0 NB921              On21
HSC J160107+550720 16 01 07.44 +55 07 20.7 6.573 28.5 99.0 28.6 26.0 25.2 24.2 NB921              Sh18
HSC J160707+555347 16 07 07.46 +55 53 47.9 6.564 99.0 99.0 99.0 26.1 99.0 24.1 NB921              Sh18
HSC J233125-005216 23 31 25.36 -00 52 16.5 6.559 99.0 99.0 99.0 25.4 27.5 23.3 NB921              Sh18
HSC J100205+020646 10 02 05.96 +02 06 46.2 6.936 99.0 99.0 99.0 99.0 25.5 24.2 NB973              Hu17
